,url,res,var,year,month
51,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198304.nc,30arcsec,pr,1983,4
52,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198305.nc,30arcsec,pr,1983,5
53,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198306.nc,30arcsec,pr,1983,6
54,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198307.nc,30arcsec,pr,1983,7
55,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198308.nc,30arcsec,pr,1983,8
56,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198309.nc,30arcsec,pr,1983,9
57,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198310.nc,30arcsec,pr,1983,10
58,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198311.nc,30arcsec,pr,1983,11
59,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198312.nc,30arcsec,pr,1983,12
60,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198401.nc,30arcsec,pr,1984,1
61,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198402.nc,30arcsec,pr,1984,2
62,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198403.nc,30arcsec,pr,1984,3
63,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198404.nc,30arcsec,pr,1984,4
64,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198405.nc,30arcsec,pr,1984,5
65,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198406.nc,30arcsec,pr,1984,6
66,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198407.nc,30arcsec,pr,1984,7
67,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198408.nc,30arcsec,pr,1984,8
68,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198409.nc,30arcsec,pr,1984,9
69,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198410.nc,30arcsec,pr,1984,10
70,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198411.nc,30arcsec,pr,1984,11
71,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198412.nc,30arcsec,pr,1984,12
72,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198501.nc,30arcsec,pr,1985,1
73,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198502.nc,30arcsec,pr,1985,2
74,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198503.nc,30arcsec,pr,1985,3
75,https://files.isimip.org/ISIMIP3a/InputData/climate/atmosphere/obsclim/global/daily/historical/CHELSA-W5E5v1.0/chelsa-w5e5v1.0_obsclim_pr_30arcsec_global_daily_198504.nc,30arcsec,pr,1985,4
